#proc cat nGausRV nGausWV
SMS_TChiHH_HToGG_m127 j4toInf_b0_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m127 j4toInf_b1_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m127 j4toInf_b1_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m127 j4toInf_b1_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m127 j4toInf_b1_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m127 j4toInf_b1_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m127 j4toInf_b1_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m127 j4toInf_b2toInf_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m127 j4toInf_b2toInf_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m127 j4toInf_b2toInf_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m127 j4toInf_b2toInf_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m127 j4toInf_b2toInf_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m127 j4toInf_b2toInf_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 diBBH_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 diBBH_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 diBBH_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 diBBH_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 diBBH_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 diBBH_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 diBBZ_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 diBBZ_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 diBBZ_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 diBBZ_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 diBBZ_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 diBBZ_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 diLepZ 4 1
SMS_TChiHH_HToGG_m127_2017 is1El_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 is1El_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 is1El_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 is1El_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 is1El_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 is1El_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 is1Mu_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 is1Mu_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 is1Mu_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 is1Mu_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 is1Mu_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 is1Mu_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 j0_b0toInf_pT0 4 1
SMS_TChiHH_HToGG_m127_2017 j0_b0toInf_pT1 4 1
SMS_TChiHH_HToGG_m127_2017 j0_b0toInf_pT2 4 1
SMS_TChiHH_HToGG_m127_2017 j1to3_b0_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 j1to3_b0_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 j1to3_b0_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 j1to3_b0_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 j1to3_b0_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 j1to3_b0_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 j1to3_b1_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 j1to3_b1_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 j1to3_b1_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 j1to3_b1_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 j1to3_b1_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 j1to3_b1_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 j1to3_b2toInf_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 j1to3_b2toInf_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 j1to3_b2toInf_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 j1to3_b2toInf_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 j1to3_b2toInf_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 j1to3_b2toInf_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 j4toInf_b0_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 j4toInf_b0_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 j4toInf_b0_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 j4toInf_b0_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 j4toInf_b0_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 j4toInf_b0_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 j4toInf_b1_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 j4toInf_b1_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 j4toInf_b1_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 j4toInf_b1_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 j4toInf_b1_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 j4toInf_b1_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 j4toInf_b2toInf_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 j4toInf_b2toInf_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 j4toInf_b2toInf_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 j4toInf_b2toInf_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m127_2017 j4toInf_b2toInf_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m127_2017 j4toInf_b2toInf_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m150 diBBH_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m150 diBBH_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m150 diBBH_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m150 diBBH_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m150 diBBH_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m150 diBBH_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m150 diBBZ_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m150 diBBZ_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m150 diBBZ_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m150 diBBZ_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m150 diBBZ_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m150 diBBZ_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m150 diLepZ 4 1
SMS_TChiHH_HToGG_m150 is1El_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m150 is1El_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m150 is1El_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m150 is1El_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m150 is1El_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m150 is1El_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m150 is1Mu_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m150 is1Mu_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m150 is1Mu_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m150 is1Mu_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m150 is1Mu_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m150 is1Mu_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m150 j0_b0toInf_pT0 4 1
SMS_TChiHH_HToGG_m150 j0_b0toInf_pT1 4 1
SMS_TChiHH_HToGG_m150 j0_b0toInf_pT2 4 1
SMS_TChiHH_HToGG_m150 j1to3_b0_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m150 j1to3_b0_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m150 j1to3_b0_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m150 j1to3_b0_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m150 j1to3_b0_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m150 j1to3_b0_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m150 j1to3_b1_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m150 j1to3_b1_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m150 j1to3_b1_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m150 j1to3_b1_pT1_mt2_30 3 1
SMS_TChiHH_HToGG_m150 j1to3_b1_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m150 j1to3_b1_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m150 j1to3_b2toInf_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m150 j1to3_b2toInf_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m150 j1to3_b2toInf_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m150 j1to3_b2toInf_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m150 j1to3_b2toInf_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m150 j1to3_b2toInf_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m150 j4toInf_b0_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m150 j4toInf_b0_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m150 j4toInf_b0_pT1_mt2_0 3 1
SMS_TChiHH_HToGG_m150 j4toInf_b0_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m150 j4toInf_b0_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m150 j4toInf_b0_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m150 j4toInf_b1_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m150 j4toInf_b1_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m150 j4toInf_b1_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m150 j4toInf_b1_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m150 j4toInf_b1_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m150 j4toInf_b1_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m150 j4toInf_b2toInf_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m150 j4toInf_b2toInf_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m150 j4toInf_b2toInf_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m150 j4toInf_b2toInf_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m150 j4toInf_b2toInf_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m150 j4toInf_b2toInf_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 diBBH_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 diBBH_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 diBBH_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 diBBH_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 diBBH_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 diBBH_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 diBBZ_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 diBBZ_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 diBBZ_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 diBBZ_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 diBBZ_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 diBBZ_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 diLepZ 4 1
SMS_TChiHH_HToGG_m150_2017 is1El_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 is1El_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 is1El_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 is1El_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 is1El_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 is1El_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 is1Mu_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 is1Mu_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 is1Mu_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 is1Mu_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 is1Mu_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 is1Mu_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 j0_b0toInf_pT0 4 1
SMS_TChiHH_HToGG_m150_2017 j0_b0toInf_pT1 4 1
SMS_TChiHH_HToGG_m150_2017 j0_b0toInf_pT2 4 1
SMS_TChiHH_HToGG_m150_2017 j1to3_b0_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 j1to3_b0_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 j1to3_b0_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 j1to3_b0_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 j1to3_b0_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 j1to3_b0_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 j1to3_b1_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 j1to3_b1_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 j1to3_b1_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 j1to3_b1_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 j1to3_b1_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 j1to3_b1_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 j1to3_b2toInf_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 j1to3_b2toInf_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 j1to3_b2toInf_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 j1to3_b2toInf_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 j1to3_b2toInf_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 j1to3_b2toInf_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 j4toInf_b0_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 j4toInf_b0_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 j4toInf_b0_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 j4toInf_b0_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 j4toInf_b0_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 j4toInf_b0_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 j4toInf_b1_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 j4toInf_b1_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 j4toInf_b1_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 j4toInf_b1_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 j4toInf_b1_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 j4toInf_b1_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 j4toInf_b2toInf_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 j4toInf_b2toInf_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 j4toInf_b2toInf_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 j4toInf_b2toInf_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m150_2017 j4toInf_b2toInf_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m150_2017 j4toInf_b2toInf_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m175 diBBH_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m175 diBBH_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m175 diBBH_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m175 diBBH_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m175 diBBH_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m175 diBBH_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m175 diBBZ_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m175 diBBZ_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m175 diBBZ_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m175 diBBZ_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m175 diBBZ_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m175 diBBZ_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m175 diLepZ 4 1
SMS_TChiHH_HToGG_m175 is1El_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m175 is1El_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m175 is1El_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m175 is1El_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m175 is1El_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m175 is1El_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m175 is1Mu_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m175 is1Mu_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m175 is1Mu_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m175 is1Mu_pT1_mt2_30 3 1
SMS_TChiHH_HToGG_m175 is1Mu_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m175 is1Mu_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m175 j0_b0toInf_pT0 4 1
SMS_TChiHH_HToGG_m175 j0_b0toInf_pT1 4 1
SMS_TChiHH_HToGG_m175 j0_b0toInf_pT2 4 1
SMS_TChiHH_HToGG_m175 j1to3_b0_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m175 j1to3_b0_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m175 j1to3_b0_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m175 j1to3_b0_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m175 j1to3_b0_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m175 j1to3_b0_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m175 j1to3_b1_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m175 j1to3_b1_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m175 j1to3_b1_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m175 j1to3_b1_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m175 j1to3_b1_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m175 j1to3_b1_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m175 j1to3_b2toInf_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m175 j1to3_b2toInf_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m175 j1to3_b2toInf_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m175 j1to3_b2toInf_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m175 j1to3_b2toInf_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m175 j1to3_b2toInf_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m175 j4toInf_b0_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m175 j4toInf_b0_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m175 j4toInf_b0_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m175 j4toInf_b0_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m175 j4toInf_b0_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m175 j4toInf_b0_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m175 j4toInf_b1_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m175 j4toInf_b1_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m175 j4toInf_b1_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m175 j4toInf_b1_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m175 j4toInf_b1_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m175 j4toInf_b1_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m175 j4toInf_b2toInf_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m175 j4toInf_b2toInf_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m175 j4toInf_b2toInf_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m175 j4toInf_b2toInf_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m175 j4toInf_b2toInf_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m175 j4toInf_b2toInf_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m175_2017 diBBH_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m175_2017 diBBH_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m175_2017 diBBH_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m175_2017 diBBH_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m175_2017 diBBH_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m175_2017 diBBH_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m175_2017 diBBZ_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m175_2017 diBBZ_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m175_2017 diBBZ_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m175_2017 diBBZ_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m175_2017 diBBZ_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m175_2017 diBBZ_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m175_2017 diLepZ 4 1
SMS_TChiHH_HToGG_m175_2017 is1El_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m175_2017 is1El_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m175_2017 is1El_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m175_2017 is1El_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m175_2017 is1El_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m175_2017 is1El_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m175_2017 is1Mu_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m175_2017 is1Mu_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m175_2017 is1Mu_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m175_2017 is1Mu_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m175_2017 is1Mu_pT2_mt2_0 4 1
